Plugin,"Plugin Name","Family","Severity","VPR","EPSS","Host Total","Total"
1005520,"[1.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Enforce password history' is set to '24 or more password(s)'","N/A","Medium","","","1","1"
1005521,"[1.1.2][MS][2016][DC][v4.0.0][L1] Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'","N/A","Medium","","","1","1"
1005526,"[1.1.3][MS][2016][DC][v4.0.0][L1] Ensure 'Minimum password age' is set to '1 or more day(s)'","N/A","Medium","","","1","1"
1005527,"[1.1.4][MS][2016][DC][v4.0.0][L1] Ensure 'Minimum password length' is set to '14 or more character(s)'","N/A","Medium","","","1","1"
1005528,"[1.1.5][MS][2016][DC][v4.0.0][L1] Ensure 'Password must meet complexity requirements' is set to 'Enabled'","N/A","Medium","","","1","1"
1005531,"[1.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Account lockout duration' is set to '15 or more minute(s)'","N/A","Medium","","","1","1"
1005533,"[1.2.2][MS][2016][DC][v4.0.0][L1] Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'","N/A","Medium","","","1","1"
1005535,"[1.2.4][MS][2016][DC][v4.0.0][L1] Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'","N/A","Medium","","","1","1"
1005536,"[17.1.1][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Credential Validation' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1005537,"[17.2.1][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Application Group Management' is set to 'Success and Failure'","N/A","Medium","","","1","1"
1005543,"[17.3.1][MS][2016][DC][v4.0.0][L1] Ensure 'Audit PNP Activity' is set to include 'Success'","N/A","Medium","","","1","1"
1005578,"[17.3.2][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Process Creation' is set to include 'Success'","N/A","Medium","","","1","1"
1005579,"[17.5.1][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Account Lockout' is set to include 'Failure'","N/A","Medium","","","1","1"
1005589,"[17.5.2][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Group Membership' is set to include 'Success'","N/A","Medium","","","1","1"
1005591,"[17.5.3][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Logoff' is set to include 'Success'","N/A","Medium","","","1","1"
1005592,"[17.5.4][MS][2016][DC][v4.0.0][L1] Ensure 'Audit Logon' is set to 'Success and Failure'","N/A","Medium","","","1","1"
